route,num_operators,total_flights_season,avg_weekly_frequency,hhi,top_operator,top_operator_share_pct,market_structure
BHUBANESWAR-RANCHI,1,327.1,10.9,10000.0,IndiGo,100.0,Monopoly
BHUBANESWAR-RAIPUR,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
BHUBANESWAR-PUNE,1,418.0,13.9,10000.0,Air India Express,100.0,Monopoly
BHUBANESWAR-PRAYAGRAJ,1,177.4,5.9,10000.0,IndiGo,100.0,Monopoly
BHUBANESWAR-PATNA,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
BHUBANESWAR-KOLKATA,1,1666.3,55.5,10000.0,IndiGo,100.0,Monopoly
CHANDIGARH-LUCKNOW,1,415.4,13.8,10000.0,IndiGo,100.0,Monopoly
CHANDIGARH-LEH,1,116.3,3.9,10000.0,Air India,100.0,Monopoly
CHANDIGARH-KOLKATA,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
CHANDIGARH-JAMMU,1,178.3,5.9,10000.0,IndiGo,100.0,Monopoly
CHANDIGARH-JAIPUR,1,1191.1,39.7,10000.0,IndiGo,100.0,Monopoly
CHANDIGARH-INDORE,1,356.6,11.9,10000.0,IndiGo,100.0,Monopoly
CHANDIGARH-HYDERABAD,1,830.0,27.7,10000.0,IndiGo,100.0,Monopoly
CHANDIGARH-HISSAR,1,59.7,2.0,10000.0,Alliance Air,100.0,Monopoly
CHANDIGARH-GOA,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
CHANDIGARH-DHARAMSALA,1,236.6,7.9,10000.0,IndiGo,100.0,Monopoly
CHANDIGARH-CHENNAI,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
BILASPUR-PRAYAGRAJ,1,59.7,2.0,10000.0,Alliance Air,100.0,Monopoly
BILASPUR-KOLKATA,1,119.4,4.0,10000.0,Alliance Air,100.0,Monopoly
BILASPUR-JABALPUR,1,119.4,4.0,10000.0,Alliance Air,100.0,Monopoly
CHENNAI-KANNUR,1,238.9,8.0,10000.0,IndiGo,100.0,Monopoly
CHENNAI-JAIPUR,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
CHENNAI-INDORE,1,593.4,19.8,10000.0,IndiGo,100.0,Monopoly
CHENNAI-HINDON,1,258.1,8.6,10000.0,IndiGo,100.0,Monopoly
CHENNAI-GOA,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
CHENNAI-DURGAPUR,1,266.7,8.9,10000.0,IndiGo,100.0,Monopoly
CHENNAI-CUDDAPAH,1,237.7,7.9,10000.0,IndiGo,100.0,Monopoly
CHENNAI-COIMBATORE,1,3341.7,111.4,10000.0,IndiGo,100.0,Monopoly
CHANDIGARH-SRINAGAR,1,887.3,29.6,10000.0,IndiGo,100.0,Monopoly
CHANDIGARH-PUNE,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
CHANDIGARH-PATNA,1,415.4,13.8,10000.0,IndiGo,100.0,Monopoly
CHANDIGARH-NAVI MUMBAI,1,417.1,13.9,10000.0,IndiGo,100.0,Monopoly
JAMNAGAR-SURAT,1,417.0,13.9,10000.0,Ghodawat Enterprises (Fly91),100.0,Monopoly
JAMMU-NAVI MUMBAI,1,234.9,7.8,10000.0,IndiGo,100.0,Monopoly
JAMMU-LEH,1,176.4,5.9,10000.0,Air India,100.0,Monopoly
JALGAON-PUNE,1,416.3,13.9,10000.0,JustUdo Aviation (IndiaOne Air),100.0,Monopoly
JALGAON-MUMBAI,1,298.6,10.0,10000.0,Alliance Air,100.0,Monopoly
JALGAON-MOPA,1,417.1,13.9,10000.0,JustUdo Aviation (IndiaOne Air),100.0,Monopoly
JALANDHAR-MUMBAI,1,416.6,13.9,10000.0,IndiGo,100.0,Monopoly
JAIPUR-UDAIPUR,1,831.1,27.7,10000.0,IndiGo,100.0,Monopoly
JAIPUR-SURAT,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
JAIPUR-NAVI MUMBAI,1,716.6,23.9,10000.0,IndiGo,100.0,Monopoly
JAIPUR-MOPA,1,417.1,13.9,10000.0,IndiGo,100.0,Monopoly
CHENNAI-SALEM,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
CHENNAI-RANCHI,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
CHENNAI-RAJAHMUNDRY,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
CHENNAI-RAIPUR,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
CHENNAI-PATNA,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
CHENNAI-MYSORE,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
CHENNAI-MOPA,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
CHENNAI-MANGALORE,1,416.0,13.9,10000.0,IndiGo,100.0,Monopoly
CHENNAI-LUCKNOW,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
COOCH BEHAR-KOLKATA,1,418.0,13.9,10000.0,GSEC Monarch & Deccan Aviation,100.0,Monopoly
COIMBATORE-PUNE,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
COIMBATORE-NAVI MUMBAI,1,416.0,13.9,10000.0,IndiGo,100.0,Monopoly
COIMBATORE-HYDERABAD,1,2087.4,69.6,10000.0,IndiGo,100.0,Monopoly
COIMBATORE-GOA,1,416.6,13.9,10000.0,IndiGo,100.0,Monopoly
CHENNAI-VISAKHAPATNAM,1,1253.1,41.8,10000.0,IndiGo,100.0,Monopoly
CHENNAI-VIJAYAWADA,1,833.4,27.8,10000.0,IndiGo,100.0,Monopoly
CHENNAI-VARANASI,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
CHENNAI-TUTICORIN,1,1671.1,55.7,10000.0,IndiGo,100.0,Monopoly
CHENNAI-TIRUCHIRAPALLY,1,2506.3,83.5,10000.0,IndiGo,100.0,Monopoly
CHENNAI-THIRUVANANTHAPURAM,1,1250.0,41.7,10000.0,IndiGo,100.0,Monopoly
CHENNAI-SURAT,1,237.7,7.9,10000.0,IndiGo,100.0,Monopoly
CHENNAI-SHIVAMOGGA,1,417.0,13.9,10000.0,SpiceJet,100.0,Monopoly
CHENNAI-SHIRDI,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
JAIPUR-LUCKNOW,1,834.4,27.8,10000.0,IndiGo,100.0,Monopoly
JAIPUR-KULLU,1,119.4,4.0,10000.0,Alliance Air,100.0,Monopoly
JAIPUR-KOLKATA,1,1251.4,41.7,10000.0,IndiGo,100.0,Monopoly
JABALPUR-NAVI MUMBAI,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
ITANAGAR-TEZU,1,119.4,4.0,10000.0,Alliance Air,100.0,Monopoly
ITANAGAR-KOLKATA,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
INDORE-REWA,1,417.1,13.9,10000.0,IndiGo,100.0,Monopoly
INDORE-RAIPUR,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
INDORE-NAVI MUMBAI,1,523.0,17.4,10000.0,IndiGo,100.0,Monopoly
INDORE-NAGPUR,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
INDORE-LUCKNOW,1,417.1,13.9,10000.0,IndiGo,100.0,Monopoly
INDORE-JAIPUR,1,835.1,27.8,10000.0,IndiGo,100.0,Monopoly
DEHRADUN-PUNE,1,356.6,11.9,10000.0,IndiGo,100.0,Monopoly
DEHRADUN-PITHORAGARH,1,179.1,6.0,10000.0,Alliance Air,100.0,Monopoly
DEHRADUN-NAVI MUMBAI,1,343.4,11.4,10000.0,IndiGo,100.0,Monopoly
DEHRADUN-LUCKNOW,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
DEHRADUN-KULLU,1,119.4,4.0,10000.0,Alliance Air,100.0,Monopoly
DEHRADUN-KOLKATA,1,237.7,7.9,10000.0,IndiGo,100.0,Monopoly
DEHRADUN-JAIPUR,1,475.1,15.8,10000.0,IndiGo,100.0,Monopoly
DEHRADUN-HYDERABAD,1,475.1,15.8,10000.0,IndiGo,100.0,Monopoly
DARBHANGA-KOLKATA,1,237.7,7.9,10000.0,IndiGo,100.0,Monopoly
CUDDAPAH-VIJAYAWADA,1,177.4,5.9,10000.0,IndiGo,100.0,Monopoly
CUDDAPAH-HYDERABAD,1,415.1,13.8,10000.0,IndiGo,100.0,Monopoly
DELHI-ITANAGAR,1,413.7,13.8,10000.0,IndiGo,100.0,Monopoly
DELHI-HUBLI,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
DELHI-HISSAR,1,233.0,7.8,10000.0,Alliance Air,100.0,Monopoly
DELHI-GWALIOR,1,177.4,5.9,10000.0,IndiGo,100.0,Monopoly
DELHI-GAYA,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
DELHI-DURGAPUR,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
DELHI-DIMAPUR,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
DELHI-DEOGHAR,1,836.0,27.9,10000.0,IndiGo,100.0,Monopoly
INDORE-JABALPUR,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
IMPHAL-TEZU,1,179.1,6.0,10000.0,Alliance Air,100.0,Monopoly
IMPHAL-SILCHAR,1,119.4,4.0,10000.0,Alliance Air,100.0,Monopoly
IMPHAL-SHILLONG,1,177.4,5.9,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-VARANASI,1,1253.1,41.8,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-VADODARA,1,476.0,15.9,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-UDAIPUR,1,421.4,14.0,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-TIRUCHIRAPALLY,1,414.6,13.8,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-THIRUVANANTHAPURAM,1,829.4,27.6,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-SURAT,1,415.3,13.8,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-SINDHUDURG,1,417.0,13.9,10000.0,JustUdo Aviation (IndiaOne Air),100.0,Monopoly
DELHI-LUDHIANA,1,836.0,27.9,10000.0,Air India,100.0,Monopoly
DELHI-KULLU,1,236.0,7.9,10000.0,Alliance Air,100.0,Monopoly
DELHI-KOZHIKODE,1,417.1,13.9,10000.0,IndiGo,100.0,Monopoly
