route,operator,flights_in_season,route_total,share_pct
BENGALURU-MUMBAI,SpiceJet,836.0,13273.428571428572,6.3
BENGALURU-MUMBAI,Air India Express,0.1428571428571428,13273.428571428572,0.0
BENGALURU-NAGPUR,IndiGo,1245.5714285714284,2064.7142857142853,60.33
BENGALURU-NAGPUR,Air India Express,819.1428571428571,2064.7142857142853,39.67
BENGALURU-NANDED,Ghodawat Enterprises (Fly91),414.7142857142857,414.7142857142857,100.0
BENGALURU-NASIK,IndiGo,411.8571428571429,411.8571428571429,100.0
BENGALURU-NAVI MUMBAI,Air India Express,1251.142857142857,2487.142857142857,50.3
BENGALURU-NAVI MUMBAI,IndiGo,818.8571428571429,2487.142857142857,32.92
BENGALURU-NAVI MUMBAI,Akasa Air,417.1428571428571,2487.142857142857,16.77
BENGALURU-PATNA,IndiGo,1662.428571428571,2914.7142857142853,57.04
BENGALURU-PATNA,Air India Express,834.2857142857142,2914.7142857142853,28.62
BENGALURU-PATNA,SpiceJet,418.0,2914.7142857142853,14.34
BENGALURU-PONDICHERRY,IndiGo,411.57142857142856,411.57142857142856,100.0
BENGALURU-PORT BLAIR,Air India Express,417.1428571428571,648.1428571428571,64.36
BENGALURU-PORT BLAIR,IndiGo,231.0,648.1428571428571,35.64
BENGALURU-PRAYAGRAJ,IndiGo,237.7142857142857,237.7142857142857,100.0
BENGALURU-PUNE,IndiGo,3163.285714285714,6044.142857142857,52.34
BENGALURU-PUNE,Air India Express,1604.7142857142858,6044.142857142857,26.55
BENGALURU-PUNE,Akasa Air,1276.142857142857,6044.142857142857,21.11
BENGALURU-RAIPUR,IndiGo,833.2857142857142,833.2857142857142,100.0
BENGALURU-RAJAHMUNDRY,IndiGo,410.1428571428571,410.1428571428571,100.0
BENGALURU-RAJKOT,IndiGo,417.0,417.0,100.0
BENGALURU-RANCHI,Air India Express,1246.857142857143,1662.857142857143,74.98
BENGALURU-RANCHI,IndiGo,416.0,1662.857142857143,25.02
BENGALURU-SALEM,Alliance Air,417.0,651.5714285714286,64.0
BENGALURU-SALEM,IndiGo,234.57142857142856,651.5714285714286,36.0
BENGALURU-SHIRDI,IndiGo,417.0,417.0,100.0
BENGALURU-SHIVAMOGGA,IndiGo,64.0,64.0,100.0
BENGALURU-SINDHUDURG,JustUdo Aviation (IndiaOne Air),418.0,418.0,100.0
BENGALURU-SRINAGAR,Air India Express,385.1428571428571,766.1428571428571,50.27
BENGALURU-SRINAGAR,IndiGo,381.0,766.1428571428571,49.73
BENGALURU-SURAT,IndiGo,655.7142857142858,1073.7142857142858,61.07
BENGALURU-SURAT,Air India Express,418.0,1073.7142857142858,38.93
BENGALURU-THIRUVANANTHAPURAM,IndiGo,1650.142857142857,2406.0,68.58
BENGALURU-THIRUVANANTHAPURAM,Air India Express,755.8571428571429,2406.0,31.42
BENGALURU-TIRUCHIRAPALLY,IndiGo,1241.571428571429,1804.0,68.82
BENGALURU-TIRUCHIRAPALLY,Air India Express,562.4285714285714,1804.0,31.18
BENGALURU-TIRUPATI,IndiGo,417.0,417.0,100.0
BENGALURU-TUTICORIN,IndiGo,415.4285714285714,415.4285714285714,100.0
BENGALURU-UDAIPUR,IndiGo,417.0,417.0,100.0
BENGALURU-VADODARA,IndiGo,418.0,418.0,100.0
BENGALURU-VARANASI,IndiGo,1248.5714285714284,3187.0,39.18
BENGALURU-VARANASI,Akasa Air,1105.2857142857142,3187.0,34.68
BENGALURU-VARANASI,Air India Express,833.1428571428571,3187.0,26.14
BENGALURU-VIDYANAGAR,Ghodawat Enterprises (Fly91),418.0,418.0,100.0
BENGALURU-VIJAYAWADA,IndiGo,1650.142857142857,2065.285714285714,79.9
